title,author,downloads
Scenes in the Life of Harriet Tubman,Sarah H. Bradford,13267
"Poems on various subjects, religious and moral",Phillis Wheatley,13172
The Travels of Marco Polo — Volume 1,Marco Polo and da Pisa Rusticiano,13144
The Reign of Greed,José Rizal,13105
Rip Van Winkle,Washington Irving,13032
Auguste Comte and Positivism,John Stuart Mill,12975
Sense and Sensibility,Jane Austen,12956
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",Unknown,12924
The Time Machine,H. G. Wells,12724
"Don't Marry; or, Advice on How, When and Who to Marry",James W. Donovan,12653
The Critique of Pure Reason,Immanuel Kant,12553
The Jungle Book,Rudyard Kipling,12522
Justice,John Galsworthy,12465
Faust [part 1]. Translated Into English in the Original Metres,Johann Wolfgang von Goethe,12457
"The Thousand and One Nights, Vol. I.",Unknown,12409
The Prophet,Kahlil Gibran,12335
"The Metamorphoses of Ovid, Books I-VII",Ovid,12309
The Decameron of Giovanni Boccaccio,Giovanni Boccaccio,12247
The Elements of Style,William Strunk,12201
How the Other Half Lives,Jacob A. Riis,12167
Candide,Voltaire,12156
"Society in America, Volume 2 (of 2)",Harriet Martineau,12089
The Life and Adventures of Robinson Crusoe,Daniel Defoe,12028
Essays by Ralph Waldo Emerson,Ralph Waldo Emerson,11874
David Copperfield,Charles Dickens,11812
Tess of the d'Urbervilles,Thomas Hardy,11763
On War,Carl von Clausewitz,11701
"An Essay Concerning Humane Understanding, Volume 1",John Locke,11698
The Jungle,Upton Sinclair,11675
Lysistrata,Aristophanes,11655
The King in Yellow,Robert W. Chambers,11599
The Devil's Dictionary,Ambrose Bierce,11529
Complete Original Short Stories of Guy De Maupassant,Guy de Maupassant,11469
"Spenser's The Faerie Queene, Book I",Edmund Spenser,11412
"The Ladies' Book of Etiquette, and Manual of Politeness",Florence Hartley,11271
The History of the Decline and Fall of the Roman Empire,Edward Gibbon,11223
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",Antonio Pigafetta,11217
The Sorrows of Young Werther,Johann Wolfgang von Goethe,11186
"The Principles of Psychology, Volume 1 (of 2)",William James,11098
Twenty Thousand Leagues under the Sea,Jules Verne,10970
"Bartleby, the Scrivener",Herman Melville,10952
"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist",Friedrich Wilhelm Nietzsche,10760
"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,10759
The law of copyright,William Wordsworth,10741
Ethics,Benedictus de Spinoza,10696
Madame Bovary,Gustave Flaubert,10678
"The Jargon File, Version 4.2.2, 20 Aug 2000",Unknown,10641
Phaedrus,Plato,10627
The Turn of the Screw,Henry James,10607
Aesop's Fables; a new translation,Aesop,10492
Paradise Lost,John Milton,10491
Childe Harold's Pilgrimage,Baron George Gordon Byron Byron,10459
The Innocents Abroad,Mark Twain,10401
Struwwelpeter,Heinrich Hoffmann,10316
Three men in a boat (to say nothing of the dog),Jerome K. Jerome,10311
A dictionary of American authors,Oscar Fay Adams,10255
灵历集光 (Chinese),Shangjie Song,10200
