title,author,downloads
"Storia dei musulmani di Sicilia, vol. III, parte II (Italian)",Michele Amari,2769
The Rising Tide of Color Against White World-Supremacy,Lothrop Stoddard,2768
"Varney the Vampire; Or, the Feast of Blood",Thomas Peckett Prest and James Malcolm Rymer,2764
Essays — First Series,Ralph Waldo Emerson,2764
"My Memoirs, Vol. III, 1826 to 1830",Alexandre Dumas,2763
La Divina Commedia di Dante (Italian),Dante Alighieri,2763
Life on a Mediaeval Barony,William Stearns Davis,2761
"The Catacombs of Rome, and Their Testimony Relative to Primitive Christianity",W. H. Withrow,2760
The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,2758
"On The Principles of Political Economy, and Taxation",David Ricardo,2757
An Old Babylonian Version of the Gilgamesh Epic,Morris Jastrow and Albert Tobias Clay,2754
"Phrases and Names, Their Origins and Meanings",Trench H. Johnson,2753
Le ménagier de Paris (v. 1 & 2) (French),Anonymous,2753
The Secret Adversary,Agatha Christie,2752
The Complete Works of Robert Burns,Robert Burns and Allan Cunningham,2750
The History of John Bull,John Arbuthnot,2749
"History of the Wars, Books I and II",Procopius,2748
Great Astronomers,Robert S. Ball,2747
John F. Kennedy's Inaugural Address,John F. Kennedy,2747
The call of Cthulhu,H. P. Lovecraft,2744
The Dance (by An Antiquary),Anonymous,2744
The Life of Jesus Critically Examined,David Friedrich Strauss,2743
"Rubáiyát of Omar Khayyam, Rendered into English Verse",Omar Khayyam,2736
Laura Middleton; Her Brother and her Lover,Anonymous,2736
Short Stories,Fyodor Dostoyevsky,2734
The Queen of Hearts,Wilkie Collins,2732
The Inhabitants of the Philippines,Frederic H. Sawyer,2732
Grimm's Fairy Tales,Jacob Grimm and Wilhelm Grimm,2731
李太白集 (Chinese),Bai Li,2731
"Encyclopaedia Britannica, 11th Edition, ""Dübner, Johann Friedrich"" to ""Dyeing""",Various,2730
English Economic History,Unknown,2730
"Encyclopaedia Britannica, 11th Edition, ""Bent, James"" to ""Bibirine""",Various,2729
The Yeoman Adventurer,George W. Gough,2729
"Storia della decadenza e rovina dell'impero romano, volume 08 (Italian)",Edward Gibbon,2729
The Deerslayer,James Fenimore Cooper,2728
A Literary History of the Arabs,Reynold Alleyne Nicholson,2727
Give Me Liberty,Thomas Jefferson Wertenbaker,2727
"Spanish Explorers in the Southern United States, 1528-1543.","active 16th century Alvar Núñez Cabeza de Vaca, Knight of Elvas, and active 16th century Pedro de Castañeda de Nájera",2726
The Works of Edgar Allan Poe — Volume 5,Edgar Allan Poe,2725
A Boy's Voyage Round the World,Samuel Smiles,2723
"Bref récit et succincte narration de la navigation faite en MDXXXV et MDXXXVI par le capitaine Jacques Cartier aux îles de Canada, Hochelaga, Saguenay et autres (French)",Jacques Cartier,2723
"The genuine works of Hippocrates, Vol. 1 (of 2) ",Hippocrates,2721
Patrick Henry,Moses Coit Tyler,2721
"Travels in the Central Parts of Indo-China (Siam), Cambodia, and Laos (Vol. 1 of 2)",Henri Mouhot,2720
甌北詩話 (Chinese),Yi Zhao,2719
Edison's Conquest of Mars,Garrett Putman Serviss,2717
"The passing of the great race; or, The racial basis of European history",Madison Grant,2716
"Salem Witchcraft, Volumes I and II",Charles Wentworth Upham,2711
Commentary on the Epistle to the Galatians,Martin Luther,2706
Castes and Tribes of Southern India. Vol. 7 of 7,Edgar Thurston,2706
Madame Bovary (French),Gustave Flaubert,2705
The Curiosities of Heraldry,Mark Antony Lower,2705
Sketches of the Natural History of Ceylon,Sir James Emerson Tennent,2704
Literary Celebrities of the English Lake-District,Frederick Sessions,2701
The Story of Mankind,Hendrik Willem Van Loon,2700
"A Book for a Rainy Day; or, Recollections of the Events of the Years 1766-1833",John Thomas Smith,2700
Twice-told tales,Nathaniel Hawthorne,2698
Os Lusíadas (Portuguese),Luís de Camões,2697
A collection of Latin maxims and phrases literally translated,John N. Cotterell,2696
Folkways,William Graham Sumner,2696
"My Life and Loves, Vol. 1 (of 4)",Frank Harris,2694
The Clansman,Jr. Thomas Dixon,2693
"Journal of Jasper Danckaerts, 1679-1680",Jasper Danckaerts,2693
The Voyage of the Beagle,Charles Darwin,2692
"""The Kingdom of God Is Within You""",graf Leo Tolstoy,2690
Howards End,E. M. Forster,2690
"Birds, Beasts and Flowers",D. H. Lawrence,2690
Myths of the Norsemen,H. A. Guerber,2690
A Treatise on Domestic Economy; For the Use of Young Ladies at Home and at School,Catharine Esther Beecher,2689
Studien und Plaudereien im Vaterland. Second Series (German),Sigmon M. Stern and Menco Stern,2688
The Valley of Fear,Arthur Conan Doyle,2687
Phantastes,George MacDonald,2686
The 2010 CIA World Factbook,United States. Central Intelligence Agency,2684
Archæology and the Bible,George A. Barton,2684
Shakespearean Playhouses,Joseph Quincy Adams,2683
Index of the Project Gutenberg Works of Fyodor Dostoevsky,Fyodor Dostoyevsky,2681
Early Theories of Translation,Flora Ross Amos,2681
The Present Condition of Organic Nature,Thomas Henry Huxley,2678
The History of Sulu,Najeeb M. Saleeby,2673
"Encyclopaedia Britannica, 11th Edition, ""Capefigue"" to ""Carneades""",Various,2673
An Introduction to the Study of the Maya Hieroglyphs,Sylvanus Griswold Morley,2672
Histoire de France - Moyen Âge; (Vol. 1 / 10) (French),Jules Michelet,2672
"London Labour and the London Poor, Vol. 1",Henry Mayhew,2671
"England, My England",D. H. Lawrence,2670
"Ultima Thule; or, A Summer in Iceland. vol. 1/2",Sir Richard Francis Burton,2670
All Things Considered,G. K. Chesterton,2668
The Fables of La Fontaine,Jean de La Fontaine,2665
Confessions of an English Opium-Eater,Thomas De Quincey,2662
"A System of Logic, Ratiocinative and Inductive",John Stuart Mill,2662
The Second Jungle Book,Rudyard Kipling,2661
"Œuvres de P. Corneille, Tome 03 (French)",Pierre Corneille,2660
The Fairy Mythology,Thomas Keightley,2659
"A Budget of Paradoxes, Volume II",Augustus De Morgan,2658
Manifesto of the Communist Party,Karl Marx and Friedrich Engels,2654
English Surnames,Charles Wareing Endell Bardsley,2654
"The Writings of Thomas Paine, Complete",Thomas Paine,2654
Geoffrey de Mandeville,John Horace Round,2651
The Waste Land,T. S. Eliot,2651
"History, Manners, and Customs of the Indian Nations Who Once Inhabited Pennsylvania and the Neighbouring States.",John Gottlieb Ernestus Heckewelder,2651
The Articles of Faith,James E. Talmage,2650
Lectures on the Science of Language,F. Max Müller,2650
"History of the United States of America, Volume 7 (of 9) ",Henry Adams,2649
Dracula's Guest,Bram Stoker,2641
"The nigger of the ""Narcissus"" ",Joseph Conrad,2640
Fifty Years In The Northwest,William H. C. Folsom,2637
"Zoological Mythology; or, The Legends of Animals, Volume 2 (of 2)",Angelo De Gubernatis,2637
"The Boy Mechanic, Volume 1",Unknown,2637
"The Cumulative Book Review Digest, Volume 1, 1905",Various,2636
Household Stories by the Brothers Grimm,Jacob Grimm and Wilhelm Grimm,2632
"Hinduism and Buddhism, An Historical Sketch, Vol. 2",Charles Eliot,2630
"The Letters of William James, Vol. 2",William James,2629
Henry of Ofterdingen,Novalis,2626
"A history of the Peninsular War, Vol. 5, Oct. 1811-Aug. 31, 1812 ",Charles Oman,2625
Theodore Roosevelt,Theodore Roosevelt,2623
The Comedies of Terence,Terence,2619
History of the Conquest of Mexico; vol. 3/4,William Hickling Prescott,2619
Charmes (French),Paul Valéry,2618
The Complete Poetical Works of Henry Wadsworth Longfellow,Henry Wadsworth Longfellow,2614
The Memorabilia,Xenophon,2612
Education,Ellen Gould Harmon White,2611
On Growth and Form,D'Arcy Wentworth Thompson,2609
"Amphitryo, Asinaria, Aulularia, Bacchides, Captivi (Latin)",Titus Maccius Plautus,2606
"The first voyage round the world, by Magellan ",Antonio Pigafetta,2606
English Fairy Tales,Unknown,2603
"Library of the World's Best Literature, Ancient and Modern — Volume 09",Unknown,2600
The Well of Saint Clare,Anatole France,2596
"Evolution, Old & New",Samuel Butler,2596
"Encyclopaedia Britannica, 11th Edition, ""Anjar"" to ""Apollo""",Various,2595
"Encyclopaedia Britannica, 11th Edition, ""Lightfoot, Joseph"" to ""Liquidation""",Various,2594
Henry VIII.,A. F. Pollard,2594
Alexandria,E. M. Forster,2593
殉情詩集 (Japanese),Haruo Sato,2592
"History of Central America, Volume 1, 1501-1530",Hubert Howe Bancroft,2591
History of Christian names,Charlotte M. Yonge,2591
Aesthetical Essays of Friedrich Schiller,Friedrich Schiller,2589
"Encyclopaedia Britannica, 11th Edition, ""Dodwell, Edward"" to ""Drama""",Various,2585
The Red Room,H. G. Wells,2580
"Franklin's Way to Wealth; or, ""Poor Richard Improved""",Benjamin Franklin,2579
A Wanderer in Paris,E. V. Lucas,2579
Die Traumdeutung (German),Sigmund Freud,2578
Twelfth Night,William Shakespeare,2577
"History of the settlement of Upper Canada (Ontario,)",William Canniff,2574
Worlds Within Worlds,Isaac Asimov,2573
金瓶梅 (Chinese),Xiaoxiaosheng,2573
The Friars in the Philippines,Ambrose Coleman,2571
"Pride and Prejudice, a play founded on Jane Austen's novel",Jane Austen and Mrs. Steele MacKaye,2570
New Atlantis,Francis Bacon,2570
The Complete Plays of Gilbert and Sullivan,W. S. Gilbert and Arthur Sullivan,2569
The Arabian Nights,Unknown,2569
The Mabinogion,Unknown,2569
Poems,Christina Georgina Rossetti,2566
Philippine progress prior to 1898 ,Austin Craig and Conrado O. Benitez,2563
Measure for Measure,William Shakespeare,2563
"Chaucer's Works, Volume 1 — Romaunt of the Rose; Minor Poems",Geoffrey Chaucer,2561
The Altar at Midnight,C. M. Kornbluth,2560
"Deutsche Humoristen, 1. Band (von 8) (German)","Fritz Reuter, Peter Rosegger, Wilhelm Raabe, Friedrich Theodor Vischer, and Albert Roderich",2559
Sailing Alone Around the World,Joshua Slocum,2558
Anarchism,Paul Eltzbacher,2558
Fairy and Folk Tales of the Irish Peasantry,Unknown,2557
"The Private Diary of Dr. John Dee, and the Catalog of His Library of Manuscripts",John Dee,2556
The Book of the Thousand Nights and a Night — Volume 06 (of 10),Unknown,2556
Tarzan of the Apes,Edgar Rice Burroughs,2555
Index of the Project Gutenberg Works of O. Henry,O. Henry,2552
The Little Mother Goose,Unknown,2551
Shakespeare's environment,C. C. Stopes,2550
The Book of Household Management,Mrs. Beeton,2549
"Woordenlijst voor de spelling der Nederlandsche Taal (Dutch)",M. de Vries and L. A. te Winkel,2548
"A Short View of the Immorality, and Profaneness of the English Stage",Jeremy Collier,2547
Up the Orinoco and down the Magdalena,J. A. Zahm,2546
Faust,Johann Wolfgang von Goethe,2544
"Chaucer's Works, Volume 2 — Boethius and Troilus",Geoffrey Chaucer,2544
"Encyclopaedia Britannica, 11th Edition, ""Bradford, William"" to ""Brequigny, Louis""",Various,2544
Argot and slang ,Albert Barrère,2543
Battle-Pieces and Aspects of the War,Herman Melville,2543
The Christ Myth,Arthur Drews,2543
The New Life (La Vita Nuova),Dante Alighieri,2543
The Roman History of Ammianus Marcellinus,Ammianus Marcellinus,2543
The Conflict of Religions in the Early Roman Empire,T. R. Glover,2539
"Old and New London, Volume I",Walter Thornbury,2539
France in the Nineteenth Century,Elizabeth Wormeley Latimer,2538
Vanishing England,P. H. Ditchfield,2538
"Human, All-Too-Human",Friedrich Wilhelm Nietzsche,2535
"Beówulf (Dutch)",Unknown,2534
La Germanie (French) (Latin),Cornelius Tacitus,2534
The Agrarian Problem in the Sixteenth Century,R. H. Tawney,2532
"Erewhon; Or, Over the Range",Samuel Butler,2528
Letters of Edward FitzGerald to Fanny Kemble (1871-1883),Edward FitzGerald,2525
The Ego and His Own,Max Stirner,2523
The Story of Doctor Dolittle,Hugh Lofting,2522
The Dawn of Day,Friedrich Wilhelm Nietzsche,2522
The Orkneyinga Saga,Anonymous,2518
Fifty Famous Stories Retold,James Baldwin,2518
The Red and the Black,Stendhal,2518
Lady Windermere's Fan,Oscar Wilde,2517
Types of News Writing,Willard Grosvenor Bleyer,2517
Old English libraries ,Ernest Albert Savage,2517
"Aids to Reflection; and, The Confessions of an Inquiring Spirit",Samuel Taylor Coleridge,2515
Steam-ships ,R. A. Fletcher,2514
Little Lucy's Wonderful Globe,Charlotte M. Yonge,2512
The Old Pike,Thomas B. Searight,2512
"Le tragedie, gl'inni sacri e le odi di Alessandro Manzoni (Italian)",Alessandro Manzoni,2511
Tender Buttons,Gertrude Stein,2510
Little Dorrit,Charles Dickens,2505
The Gods of Mars,Edgar Rice Burroughs,2504
"Encyclopaedia Britannica, 11th Edition, ""Bréquigny, Louis Georges Oudard Feudrix de"" to ""Bulgaria""",Various,2503
History of Phoenicia,George Rawlinson,2502
The Sea,Frederick Whymper,2500
The Song of Hiawatha,Henry Wadsworth Longfellow,2500
Lucile,Earl of Edward Robert Bulwer Lytton Lytton,2500
Keats,John Keats,2499
Prayers of the Early Church,Unknown,2499
Max und Moritz,Wilhelm Busch,2497
"The Jesuit Relations and Allied Documents, Vol. 1",Unknown,2497
Confessiones (Latin),Bishop of Hippo Saint Augustine,2495
"The History of Don Quixote, Volume 2, Complete",Miguel de Cervantes Saavedra,2493
"The Roycroft Dictionary, Concocted by Ali Baba and the Bunch on Rainy Days.",Elbert Hubbard,2490
"Winesburg, Ohio",Sherwood Anderson,2490
The Spanish Tragedie,Thomas Kyd,2490
"The letters of Queen Victoria, vol. 1, 1837-1843 ",Queen of Great Britain Victoria,2490
Lady Audley's Secret,M. E. Braddon,2486
Martin Chuzzlewit,Charles Dickens,2486
Etymologisches Wörterbuch der deutschen Seemannssprache (German),Gustav Goedel,2484
Pals,Joseph Bowes,2484
The magic of jewels and charms,George Frederick Kunz,2483
The Life of the Scorpion,Jean-Henri Fabre,2482
Orthodoxy,G. K. Chesterton,2482
Feudal England,John Horace Round,2481
The Archaeology of the Yakima Valley,Harlan Ingersoll Smith,2481
"Knickerbocker's History of New York, Complete",Washington Irving,2480
Every Man in His Humor,Ben Jonson,2479
Heretics,G. K. Chesterton,2478
Sister Carrie,Theodore Dreiser,2478
The Moon and Sixpence,W. Somerset Maugham,2477
A Visit From Saint Nicholas,Clement Clarke Moore,2477
Church History (Volumes 1-3),J. H. Kurtz,2476
The History of Prostitution,William W. Sanger,2476
"The Life of Charles Dickens, Vol. I-III, Complete",John Forster,2476
The Man of Genius,Cesare Lombroso,2475
Jamaica Anansi stories,Martha Warren Beckwith,2472
The Secrets of the Self (Asrar-i Khudi) — A Philosophical Poem,Sir Muhammad Iqbal,2471
"Storia della decadenza e rovina dell'impero romano, volume 13 (Italian)",Edward Gibbon,2470
Architecture ,Henry-Russell Hitchcock,2469
A Collection of Essays and Fugitiv Writings,Noah Webster,2467
Self Knowledge and Guide to Sex Instruction,Thomas W. Shannon,2467
The poems of Heine; Complete,Heinrich Heine,2466
The history of fashion in France ,Augustin Challamel,2466
"The Congo, and Other Poems",Vachel Lindsay,2466
Blackbeard,Ralph Delahaye Paine,2465
The Man Who Laughs,Victor Hugo,2463
My Ántonia,Willa Cather,2462
The History of the Thirteen Colonies of North America 1497-1763,Reginald W. Jeffery,2462
The Bābur-nāma in English (Memoirs of Bābur),Emperor of Hindustan Babur,2461
"The Works of Lord Byron, Vol. 7. Poetry",Baron George Gordon Byron Byron,2460
"England, Picturesque and Descriptive",Joel Cook,2460
Barry Lyndon,William Makepeace Thackeray,2460
Flatland,Edwin Abbott Abbott,2459
"The Mantle, and Other Stories",Nikolai Vasilevich Gogol,2459
The World of Flying Saucers,Donald H. Menzel and Lyle Gifford Boyd,2458
The Amenities of Book-Collecting and Kindred Affections,A. Edward Newton,2458
Some Principles of Maritime Strategy,Julian Stafford Corbett,2457
The Chronicle of the Discovery and Conquest of Guinea. Vol. I,Gomes Eannes de Zurara,2456
Adam Bede,George Eliot,2456
"Motion pictures, 1950-1959 ",Library of Congress. Copyright Office,2454
British Flags,William Gordon Perrin,2454
Discourses on the First Decade of Titus Livius,Niccolò Machiavelli,2453
The Secret Agent,Joseph Conrad,2453
呻吟語 (Chinese),Kun Lü,2452
The Devil is an Ass,Ben Jonson,2451
"Lamarck, the Founder of Evolution",A. S. Packard,2450
The Hour of the Dragon,Robert E. Howard,2447
The Fables of Aesop,Aesop,2447
Charlotte Temple,Mrs. Rowson,2444
The whole truth and nothing but,Hedda Hopper and James Brough,2444
The History of the Standard Oil Company,Ida M. Tarbell,2441
Captain Cook's Journal During His First Voyage Round the World,James Cook,2440
The Jew of Malta,Christopher Marlowe,2438
Man a Machine,Julien Offray de La Mettrie,2438
Jude the Obscure,Thomas Hardy,2433
Historic Jamaica,Frank Cundall,2431
A Girl of the Limberlost,Gene Stratton-Porter,2431
Geschiedenis van Suriname (Dutch),J. Wolbers,2429
The Scientific Evidences of Organic Evolution,George John Romanes,2429
Gypsy Sorcery and Fortune Telling,Charles Godfrey Leland,2428
Juliette Drouet's Love-Letters to Victor Hugo,Louis Guimbaud and Juliette Drouet,2427
The Princess and the Goblin,George MacDonald,2426
Shirley,Charlotte Brontë,2422
The Man in the Brown Suit,Agatha Christie,2422
Books and Printing; a Treasury for Typophiles,Unknown,2420
"Humour, Wit, & Satire of the Seventeenth Century",Unknown,2417
A Woman of No Importance,Oscar Wilde,2416
The Letters of Cassiodorus,Senator Cassiodorus,2416
The Lighter Classics in Music,David Ewen,2414
A silent witness,R. Austin Freeman,2414
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,2414
Villette,Charlotte Brontë,2414
"Man and Nature; Or, Physical Geography as Modified by Human Action",George P. Marsh,2412
Esprit des lois (French),baron de Charles de Secondat Montesquieu,2411
"Isis unveiled, Volume 1 (of 2), Science ",H. P. Blavatsky,2410
The Worst Journey in the World,Apsley Cherry-Garrard,2410
"The Katipunan; or, The Rise and Fall of the Filipino Commune",Francis St. Clair,2410
A Visit to the Philippine Islands,John Bowring,2407
The Theory of the Leisure Class,Thorstein Veblen,2406
"White Jacket; Or, The World on a Man-of-War",Herman Melville,2405
Bloodletting Instruments in the National Museum of History and Technology,Audrey B. Davis and Toby A. Appel,2404
Stonewall Jackson and the American Civil War,G. F. R. Henderson,2404
Geschiedenis der Noordsche Compagnie (Dutch),Samuel Muller,2404
The Hesperides & Noble Numbers,Robert Herrick,2404
儒林外史 (Chinese),Jingzi Wu,2403
His last bow ,Arthur Conan Doyle,2401
Early Greek philosophy,John Burnet,2399
"Historia de la lengua y literatura castellana, Tomo 2 ",Julio Cejador y Frauca,2398
"The Bet, and other stories",Anton Pavlovich Chekhov,2398
The Autobiography of Benjamin Franklin,Benjamin Franklin,2397
The Fables of Phædrus,Phaedrus,2397
The Travels of Sir John Mandeville,Sir John Mandeville,2397
"On the Fourfold Root of the Principle of Sufficient Reason, and On the Will in Nature",Arthur Schopenhauer,2396
The Poetical Works of William Wordsworth — Volume 5 (of 8),William Wordsworth,2395
The American Frugal Housewife,Lydia Maria Child,2393
Science in the Kitchen,E. E. Kellogg,2393
The Sufistic Quatrains of Omar Khayyam,Omar Khayyam,2392
A Practical Guide to Self-Hypnosis,Melvin Powers,2392
The Book of the Thousand Nights and a Night — Volume 10 (of 10),Unknown,2391
"Mémoires d'Outre-Tombe, Tome 3 (French)",vicomte de François-René Chateaubriand,2391
"La civiltà del secolo del Rinascimento in Italia, Volume I (Italian)",Jacob Burckhardt,2391
The Tuzuk-i-Jahangiri,Emperor of Hindustan Jahangir,2391
"Encyclopaedia Britannica, 11th Edition, ""Kite-Flying"" to ""Kyshtym""",Various,2390
"Œuvres complètes de François Villon (French)",François Villon,2389
Index of the Project Gutenberg Works of Charles Dickens,Charles Dickens,2389
"Encyclopaedia Britannica, 11th Edition, ""Cerargyrite"" to ""Charing Cross""",Various,2389
Beowulf,R. W. Chambers,2387
Pinocchio,Carlo Collodi,2387
Petrarch's Letters to Classical Authors,Francesco Petrarca,2386
Main Street,Sinclair Lewis,2385
The gradual acceptance of the Copernican theory of the universe,Dorothy Stimson,2382
Cleopatra's Needle,Berwick-upon-Tweed Vicar of St. Mary's James King,2382
The Book of the Sword,Sir Richard Francis Burton,2382
The new freedom ,Woodrow Wilson,2382
Hidden Symbolism of Alchemy and the Occult Arts,Herbert Silberer,2381
How I found Livingstone ,Henry M. Stanley,2381
Criminal Psychology,Hans Gross,2380
Instigations,Ezra Pound,2380
A Martian Odyssey,Stanley G. Weinbaum,2379
Symbolic Logic,Lewis Carroll,2378
The Analysis of Mind,Bertrand Russell,2378
A Military Dictionary and Gazetteer,Thomas Wilhelm,2377
竹齋集 (Chinese),Mian Wang,2376
"Scurvy, Past and Present",Alfred F. Hess,2376
A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library,Melvil Dewey,2375
King Solomon's Mines,H. Rider Haggard,2374
The army behind the army,E. Alexander Powell,2373
A Critical Exposition of the Popular 'Jihád',Cherágh Ali,2372
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 01 (of 10)",Giorgio Vasari,2371
"France and England in North America, Part VII, Vol 2",Francis Parkman,2371
"On the Spanish Main; Or, Some English forays on the Isthmus of Darien",John Masefield,2371
Modern Street Ballads,Unknown,2371
The common sense of sex,James Oppenheim,2370
"Life of Mozart, Vol. 3 (of 3)",Otto Jahn,2368
"Proverbs of All Nations, Compared, Explained, and Illustrated",Walter K. Kelly,2366
Lady Chatterley's lover,D. H. Lawrence,2366
Sotto il velame,Giovanni Pascoli,2365
Les manieurs d'argent à Rome jusqu'à l'Empire (French),Antonin Deloume,2364
"The Life of Florence Nightingale, vol. 1 of 2",Sir Edward Tyas Cook,2362
Julius Caesar,William Shakespeare,2362
Asser's Life of King Alfred,John Asser,2361
The book of wonders ,Unknown,2361
The Bloudy Tenent of Persecution for Cause of Conscience Discussed and Mr. Cotton's Letter Examined and Answered,Roger Williams,2360
Life Is a Dream,Pedro Calderón de la Barca,2359
The Complete Poetical Works of Samuel Taylor Coleridge. Vol 2 (of 2),Samuel Taylor Coleridge,2357
Los nueve libros de la Historia (2 de 2) (Spanish),Herodotus,2357
"Studies in the Psychology of Sex, Volume 3",Havelock Ellis,2357
"Minor Dialogues, Together With the Dialogue on Clemency",Lucius Annaeus Seneca,2356
This star shall be free,Murray Leinster,2356
Woodworking Tools 1600-1900,Peter C. Welsh,2356
The Chessmen of Mars,Edgar Rice Burroughs,2356
Discoveries and Inventions of the Nineteenth Century,Robert Routledge,2355
Twenty Thousand Leagues Under the Sea,Jules Verne,2353
Raemaekers' Cartoons,Louis Raemaekers,2353
History of the Decline and Fall of the Roman Empire — Volume 6,Edward Gibbon,2352
"Mémoires d'Outre-Tombe, Tome 2 (French)",vicomte de François-René Chateaubriand,2351
Japanese Girls and Women,Alice Mabel Bacon,2350
"Principles of Political Economy, Vol. 2",Wilhelm Roscher,2350
Index of the Project Gutenberg Works of Friedrich Nietzsche,Friedrich Wilhelm Nietzsche,2349
Babbitt,Sinclair Lewis,2348
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 2 (of 2)",Bernal Díaz del Castillo,2347
Autobiography,John Stuart Mill,2347
"Encyclopaedia Britannica, 11th Edition, ""David, St"" to ""Demidov""",Various,2346
An Enquiry into the Life and Legend of Michael Scot,J. Wood Brown,2346
Report of the President's Commission on the Assassination of President John F. Kennedy,United States. Warren Commission,2345
Granida (Dutch),P. C. Hooft,2345
Harrods for Everything,Harrods Ltd.,2345
The Analects of Confucius (from the Chinese Classics),Confucius,2345
"De wijzen van het Oosten (Dutch)",Cornelis Hille Ris Lambers,2343
"Modern Painters, Volume 1 (of 5)",John Ruskin,2343
Der Wille zur Macht,Friedrich Wilhelm Nietzsche,2342
"Memoirs of the Dukes of Urbino, Volume 1 (of 3)",James Dennistoun,2341
Beautiful Philippines,Philippine Islands. Commission of Independence,2339
The Play of Man,Karl Groos,2338
The Elder Eddas of Saemund Sigfusson; and the Younger Eddas of Snorre Sturleson,Snorri Sturluson and Sæmundur fróði,2337
In Defense of Women,H. L. Mencken,2336
"Scientific American, Vol. XXXVII.—No. 2. [New Series.], July 14, 1877",Various,2336
"A history of China., [3d ed. rev. and enl.]",Wolfram Eberhard,2334
Women's Bathing and Swimming Costume in the United States,Claudia Brush Kidwell,2333
"The Japanese New Year's Festival, Games and Pastimes",Helen Cowen Gunsaulus,2328
"The Geography of Strabo, Volume 2 (of 3)",Strabo,2326
The English Peasantry and the Enclosure of Common Fields,Gilbert Slater,2325
The History of Mr. Polly,H. G. Wells,2324
"Plutarch's Lives, Volume 3 (of 4)",Plutarch,2322
"Œuvres complètes de lord Byron, Tome 02 (French)",Baron George Gordon Byron Byron,2321
A History of Sanskrit Literature,Arthur Anthony Macdonell,2321
The Ballads and Songs of Yorkshire,Unknown,2321
"Les Filles Publiques sous la Terreur (French)",Hector Fleischmann,2316
"Encyclopaedia Britannica, 11th Edition, ""Austria, Lower"" to ""Bacon""",Various,2315
The School for Scandal,Richard Brinsley Sheridan,2314
Heortology ,K. A. Heinrich Kellner,2314
"The Vision and Creed of Piers Ploughman, Volume 1",William Langland,2313
續世說 (Chinese),Pingzhong Kong,2312
Cicero,Marcus Tullius Cicero,2310
Eureka,Edgar Allan Poe,2310
"Arsène Lupin, gentleman-cambrioleur (French)",Maurice Leblanc,2310
Handy Dictionary of Poetical Quotations,Unknown,2309
Seventh Annual Report of the Bureau of Ethnology,Unknown,2309
"Les liaisons dangereuses (French)",Choderlos de Laclos,2308
A New History of the United States,Charles Morris,2307
Rowlandson the Caricaturist; a Selection from His Works. Vol. 1,Joseph Grego,2306
"Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face (French)",Saint de Lisieux Thérèse,2305
"Ireland under the Tudors, with a Succinct Account of the Earlier History. Vol. 3 (of 3)",Richard Bagwell,2303
Cautionary Tales for Children,Hilaire Belloc,2302
The Luck of Roaring Camp and Other Tales,Bret Harte,2300
She,H. Rider Haggard,2299
The Chronicle of the Discovery and Conquest of Guinea. Vol. II,Gomes Eannes de Zurara,2299
Johann Sebastian Bach,Johann Nikolaus Forkel,2297
South-African Folk-Tales,James A. Honey,2297
"A History of Inventions, Discoveries, and Origins, Volume 2 (of 2)",Johann Beckmann,2296
"Tradition, Principally with Reference to Mythology and the Law of Nations",Baron John Francis Arundell Arundell of Wardour,2295
"The Philippine Islands, 1493-1898; Volume 46, 1721-1739",Unknown,2295
The Works of Lord Byron,Baron George Gordon Byron Byron,2294
Hawaiian folk tales ,Unknown,2293
Eskimo Life,Fridtjof Nansen,2293
"The Life of Joan of Arc, Vol. 1 and 2",Anatole France,2292
A History of the Inquisition of Spain; vol. 1,Henry Charles Lea,2292
"Harriet, the Moses of Her People",Sarah H. Bradford,2290
Index of the Project Gutenberg Works of Havelock Ellis,Havelock Ellis,2290
"The Dabistán, or School of manners, Volume 1 (of 3)",Unknown,2290
"The Coronado Expedition, 1540-1542.",George Parker Winship,2290
The Master of Game,count of Foix Gaston III Phoebus and of Norwich Edward,2289
Barnaby Rudge,Charles Dickens,2288
Intentions,Oscar Wilde,2288
Manual of Egyptian Archaeology and Guide to the Study of Antiquities in Egypt,G. Maspero,2285
"Joseph Andrews, Vol. 1",Henry Fielding,2285
"Martine's Hand-book of Etiquette, and Guide to True Politeness",Arthur Martine,2285
The History of the Great Irish Famine of 1847 (3rd ed.) (1902),Canon John O'Rourke,2283
Poems,Aleksandr Sergeevich Pushkin,2281
The Sea-Wolf,Jack London,2280
Tarrano the Conqueror,Ray Cummings,2280
East of the Sun and West of the Moon,Peter Christen Asbjørnsen and Jørgen Engebretsen Moe,2279
Jane's All the World's Aircraft. 1913,Unknown,2278
The discovery and decipherment of the trilingual cuneiform inscriptions,Arthur John Booth,2277
"Primitive culture, vol. 2 (of 2) ",Edward B. Tylor,2277
Reminiscences of a Stock Operator,Edwin Lefevre,2277
The Velveteen Rabbit,Margery Williams Bianco,2275
"The Wonderful ""One-Hoss-Shay"", and Other Poems",Oliver Wendell Holmes,2275
豆棚閒話 (Chinese),Ainajushi,2272
The Thirty-Nine Steps,John Buchan,2272
